SEASON,FG%,3P%,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
2003,0.417,0.29,0.754,1.3,4.2,5.5,5.9,0.7,1.6,1.9,3.5,20.9
2004,0.472,0.351,0.75,1.4,6,7.4,7.2,0.7,2.2,1.8,3.3,27.2
2005,0.48,0.335,0.738,1,6.1,7,6.6,0.8,1.6,2.3,3.3,31.4
2006,0.476,0.319,0.698,1.1,5.7,6.7,6,0.7,1.6,2.2,3.2,27.3
2007,0.484,0.315,0.712,1.8,6.1,7.9,7.2,1.1,1.8,2.2,3.4,30
2008,0.489,0.344,0.78,1.3,6.3,7.6,7.2,1.1,1.7,1.7,3,28.4
2009,0.503,0.333,0.767,0.9,6.4,7.3,8.6,1,1.6,1.6,3.4,29.7
2010,0.51,0.33,0.759,1,6.5,7.5,7,0.6,1.6,2.1,3.6,26.7
2011,0.531,0.362,0.771,1.5,6.4,7.9,6.2,0.8,1.9,1.5,3.4,27.1
2012,0.565,0.406,0.753,1.3,6.8,8,7.3,0.9,1.7,1.4,3,26.8
2013,0.567,0.379,0.75,1.1,5.9,6.9,6.3,0.3,1.6,1.6,3.5,27.1
2014,0.488,0.354,0.71,0.7,5.3,6,7.4,0.7,1.6,2,3.9,25.3
2015,0.52,0.309,0.731,1.5,6,7.4,6.8,0.6,1.4,1.9,3.3,25.3
2016,0.548,0.363,0.674,1.3,7.3,8.6,8.7,0.6,1.2,1.8,4.1,26.4
2017,0.542,0.367,0.731,1.2,7.5,8.6,9.1,0.9,1.4,1.7,4.2,27.5
